PRUEBAS DOMINGO 20 DE MARZO	20/03/2016 07:00:00 p.m.	20/03/2016 07:13:00 p.m.
47A1C078-6578-4ED6-A8C351EF74421EAD		5	SALUDO
802970DB-3981-4F44-A80C7360E5C661E0		1	DESARTICULAN CELULA CJNG-VO
FCF990C1-34EB-4F8E-B4DDDBBE046C98ED		1	DESARTICULAN CELULA CJNG-BITE
36C48FCF-E30D-4884-B16EB53219C00E36		9	AMLO REFORMA CNTE-VO
096D4734-D6EE-4E16-A587F5B841C03281		1	AMLO REFORMA CNTE-BITE
3EF68868-E7FD-423C-8D8EC0C91CEA5705		2	ZAMBRANO TRANSPARENCIA-GFX
61E3EB31-8E17-479C-B378BEAEC6613D4B		6	CANDIDATOS INDEPENDIENTES CDMX-VO
2AF38F1B-8835-47E0-A6F076396D8335A2		1	CANDIDATOS INDEPENDIENTES CDMX-BITE
448E407C-0C14-407C-A2A30E195F8B5606		1	TEOTIHUACAN PRIMAVERA-VO
B26D99CB-2A16-45BB-9424D3250BB24716		1	DESPEDIDA
